Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/20  24:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  01:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  02:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  03:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  04:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  05:00:00,9469604.825749658,9469604.825749658,0.0 
 03/21  06:00:00,30647827.557588865,30647827.557588865,5554293.184557738 
 03/21  07:00:00,35519182.07433771,35519182.07433771,6500973.336071635 
 03/21  08:00:00,34610804.16731377,34610804.167313758,0.0 
 03/21  09:00:00,31398135.564619773,31398135.564619773,0.0 
 03/21  10:00:00,30028681.984374517,30028681.984374517,0.0 
 03/21  11:00:00,28874146.92834591,28874146.928345909,0.0 
 03/21  12:00:00,26901898.21136458,26901898.211364576,0.0 
 03/21  13:00:00,28630384.394741358,28630384.39474135,0.0 
 03/21  14:00:00,28978811.022412383,28978811.022412383,0.0 
 03/21  15:00:00,28955722.381805548,28955722.381805544,0.0 
 03/21  16:00:00,28708150.556457156,28708150.55645714,0.0 
 03/21  17:00:00,19996083.779797216,19996083.77979721,0.0 
 03/21  18:00:00,17074172.241477644,17074172.24147764,0.0 
 03/21  19:00:00,11853154.258345897,11853154.258345895,0.0 
 03/21  20:00:00,10637784.395628443,10637784.395628443,0.0 
 03/21  21:00:00,10637784.395628443,10637784.395628443,0.0 
 03/21  22:00:00,9543951.519120457,9543951.519120455,0.0 
 03/21  23:00:00,7197449.08321209,7197449.08321209,0.0 
 03/21  24:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  01:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  02:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  03:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  04:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  05:00:00,9469604.825749658,9469604.825749658,0.0 
 03/22  06:00:00,29153300.808343457,29153300.808343457,4644955.239618602 
