Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/29  02:00:00,5504338.596677196,5504338.596677196,0.0 
 07/29  03:00:00,5504338.596677196,5504338.596677196,0.0 
 07/29  04:00:00,5504338.596677196,5504338.596677196,0.0 
 07/29  05:00:00,5167978.596677196,5167978.596677196,0.0 
 07/29  06:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  07:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  08:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  09:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  10:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  11:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  12:00:00,4495258.596677196,4495258.596677197,0.0 
 07/29  13:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  14:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  15:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  16:00:00,4495258.596677196,4495258.596677197,0.0 
 07/29  17:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  18:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  19:00:00,4495258.596677196,4495258.596677196,0.0 
 07/29  20:00:00,5894038.596677196,5894038.596677196,0.0 
 07/29  21:00:00,5894038.596677196,5894038.596677195,0.0 
 07/29  22:00:00,5894038.596677196,5894038.596677196,0.0 
 07/29  23:00:00,5894038.596677196,5894038.596677196,0.0 
 07/29  24:00:00,5504338.596677196,5504338.596677196,0.0 
 07/30  01:00:00,5504338.596677196,5504338.596677196,0.0 
 07/30  02:00:00,5504338.596677196,5504338.596677196,0.0 
 07/30  03:00:00,5504338.596677196,5504338.596677196,0.0 
 07/30  04:00:00,5504338.596677196,5504338.596677196,0.0 
 07/30  05:00:00,5167978.596677196,5167978.596677196,0.0 
 07/30  06:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  07:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  08:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  09:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  10:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  11:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  12:00:00,4495258.596677196,4495258.596677197,0.0 
 07/30  13:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  14:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  15:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  16:00:00,4495258.596677196,4495258.596677197,0.0 
 07/30  17:00:00,4495258.596677196,4495258.596677196,0.0 
 07/30  18:00:00,4495258.596677196,4495258.596677197,0.0 
 07/30  19:00:00,4495258.596677196,4495258.596677197,0.0 
 07/30  20:00:00,5894038.596677196,5894038.596677195,0.0 
 07/30  21:00:00,5894038.596677196,5894038.596677196,0.0 
 07/30  22:00:00,5894038.596677196,5894038.596677196,0.0 
 07/30  23:00:00,5894038.596677196,5894038.596677196,0.0 
 07/30  24:00:00,5504338.596677196,5504338.596677196,0.0 
 07/31  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/31  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/31  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/31  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/31  05:00:00,8233244.825749659,8233244.825749658,0.0 
 07/31  06:00:00,22485998.28990876,22485998.28990876,0.0 
 07/31  07:00:00,23522662.132859313,23522662.13285931,0.0 
 07/31  08:00:00,38491981.89998805,38491981.899988058,0.0 
 07/31  09:00:00,39781891.357157219,39781891.357157219,0.0 
 07/31  10:00:00,41016255.01094844,41016255.010948438,0.0 
 07/31  11:00:00,41805074.21729503,41805074.21729502,0.0 
 07/31  12:00:00,40142020.20542335,40142020.20542334,0.0 
 07/31  13:00:00,43550411.53591561,43550411.535915609,0.0 
 07/31  14:00:00,44121536.33703443,44121536.33703442,0.0 
 07/31  15:00:00,43529906.66118321,43529906.66118319,0.0 
 07/31  16:00:00,43115139.38299311,43115139.3829931,0.0 
 07/31  17:00:00,30772130.876349793,30772130.87634978,0.0 
 07/31  18:00:00,14170865.553629989,14170865.553629986,0.0 
 07/31  19:00:00,9554374.258345897,9554374.258345893,0.0 
 07/31  20:00:00,9737784.395628443,9737784.395628443,0.0 
 07/31  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/31  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/31  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/31  24:00:00,8569604.825749658,8569604.825749658,0.0 
 08/01  01:00:00,8569604.825749658,8569604.825749658,0.0 
 08/01  02:00:00,8569604.825749658,8569604.825749658,0.0 
 08/01  03:00:00,8569604.825749658,8569604.825749658,0.0 
 08/01  04:00:00,8569604.825749658,8569604.825749658,0.0 
 08/01  05:00:00,8233244.825749659,8233244.825749658,0.0 
 08/01  06:00:00,21531716.532175609,21531716.532175606,0.0 
 08/01  07:00:00,21259185.85853,21259185.85853,0.0 
 08/01  08:00:00,36764079.677111599,36764079.67711159,0.0 
 08/01  09:00:00,38005631.71706641,38005631.71706641,0.0 
 08/01  10:00:00,39329470.701819289,39329470.70181927,0.0 
 08/01  11:00:00,40321796.47786026,40321796.47786026,0.0 
 08/01  12:00:00,38604639.93584046,38604639.93584046,0.0 
 08/01  13:00:00,41407122.26481229,41407122.26481229,0.0 
 08/01  14:00:00,41576780.320235047,41576780.32023503,0.0 
 08/01  15:00:00,41532055.22829939,41532055.22829938,0.0 
 08/01  16:00:00,41843391.95862454,41843391.958624538,0.0 
 08/01  17:00:00,30243687.694425238,30243687.694425238,0.0 
 08/01  18:00:00,13976262.890398695,13976262.890398696,0.0 
 08/01  19:00:00,9480807.172589092,9480807.17258909,0.0 
 08/01  20:00:00,9737784.395628443,9737784.395628443,0.0 
 08/01  21:00:00,9737784.395628443,9737784.395628443,0.0 
 08/01  22:00:00,8643951.519120457,8643951.519120455,0.0 
 08/01  23:00:00,6297449.08321209,6297449.08321209,0.0 
 08/01  24:00:00,8569604.825749658,8569604.825749658,0.0 
 08/02  01:00:00,8569604.825749658,8569604.825749658,0.0 
 08/02  02:00:00,8569604.825749658,8569604.825749658,0.0 
 08/02  03:00:00,8569604.825749658,8569604.825749658,0.0 
 08/02  04:00:00,8569604.825749658,8569604.825749658,0.0 
 08/02  05:00:00,8401424.825749658,8401424.825749658,0.0 
 08/02  06:00:00,21025911.880504855,21025911.880504855,0.0 
 08/02  07:00:00,21915028.736684555,21915028.736684547,0.0 
 08/02  08:00:00,38134481.92488152,38134481.92488151,0.0 
 08/02  09:00:00,39861116.43840477,39861116.43840476,0.0 
 08/02  10:00:00,40832541.66889014,40832541.66889014,0.0 
 08/02  11:00:00,41575231.287407118,41575231.28740711,0.0 
 08/02  12:00:00,39733422.133769657,39733422.13376965,0.0 
 08/02  13:00:00,42556743.36554524,42556743.365545239,0.0 
 08/02  14:00:00,43009048.55578796,43009048.55578795,0.0 
 08/02  15:00:00,43391679.72331279,43391679.72331278,0.0 
 08/02  16:00:00,43757763.099564317,43757763.099564317,0.0 
 08/02  17:00:00,32156585.791163967,32156585.79116396,0.0 
 08/02  18:00:00,13952206.018820528,13952206.018820528,0.0 
 08/02  19:00:00,9478820.862804885,9478820.862804883,0.0 
 08/02  20:00:00,9737784.395628443,9737784.395628443,0.0 
 08/02  21:00:00,9737784.395628443,9737784.395628443,0.0 
 08/02  22:00:00,8643951.519120457,8643951.519120455,0.0 
 08/02  23:00:00,6297449.08321209,6297449.08321209,0.0 
 08/02  24:00:00,8569604.825749658,8569604.825749658,0.0 
 08/03  01:00:00,8569604.825749658,8569604.825749658,0.0 
 08/03  02:00:00,8569604.825749658,8569604.825749658,0.0 
 08/03  03:00:00,8569604.825749658,8569604.825749658,0.0 
 08/03  04:00:00,8569604.825749658,8569604.825749658,0.0 
 08/03  05:00:00,8401424.825749658,8401424.825749658,0.0 
 08/03  06:00:00,23235056.540252985,23235056.54025298,0.0 
 08/03  07:00:00,24738844.51013959,24738844.510139586,0.0 
 08/03  08:00:00,40542923.11329148,40542923.11329148,0.0 
