Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/21  14:00:00,39493099.76156972,39493099.76156972,0.0 
 04/21  15:00:00,40267099.88154552,40267099.88154552,0.0 
 04/21  16:00:00,41130769.63802451,41130769.63802451,0.0 
 04/21  17:00:00,30328228.489454744,30328228.489454748,0.0 
 04/21  18:00:00,14813711.701938816,14813711.701938816,0.0 
 04/21  19:00:00,9777419.389738413,9777419.389738409,0.0 
 04/21  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/21  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/21  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/21  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/21  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/22  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/22  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/22  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/22  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/22  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/22  06:00:00,6329158.596677196,6329158.596677196,0.0 
 04/22  07:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  08:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  09:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/22  11:00:00,4495258.596677196,4495258.596677197,0.0 
 04/22  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/22  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  16:00:00,4495258.596677196,4495258.596677197,0.0 
 04/22  17:00:00,4495258.596677196,4495258.596677196,0.0 
 04/22  18:00:00,4495258.596677196,4495258.596677197,0.0 
 04/22  19:00:00,4728388.596677196,4728388.596677197,0.0 
 04/22  20:00:00,5894038.596677196,5894038.596677195,0.0 
 04/22  21:00:00,5894038.596677196,5894038.596677196,0.0 
 04/22  22:00:00,5894038.596677196,5894038.596677196,0.0 
 04/22  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/22  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/23  06:00:00,6329158.596677196,6329158.596677196,0.0 
 04/23  07:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  08:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  09:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/23  11:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/23  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  16:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  17:00:00,4495258.596677196,4495258.596677196,0.0 
 04/23  18:00:00,4495258.596677196,4495258.596677197,0.0 
 04/23  19:00:00,4728388.596677196,4728388.596677197,0.0 
 04/23  20:00:00,5894038.596677196,5894038.596677195,0.0 
 04/23  21:00:00,5894038.596677196,5894038.596677196,0.0 
 04/23  22:00:00,5894038.596677196,5894038.596677196,0.0 
 04/23  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/23  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/24  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/24  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/24  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/24  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/24  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/24  06:00:00,20512287.241031507,20512287.241031507,0.0 
 04/24  07:00:00,21455560.795005606,21455560.795005606,0.0 
 04/24  08:00:00,35792753.10708718,35792753.10708719,0.0 
 04/24  09:00:00,37027026.871450487,37027026.871450487,0.0 
 04/24  10:00:00,38428226.06691176,38428226.06691176,0.0 
 04/24  11:00:00,39317925.31430355,39317925.31430355,0.0 
 04/24  12:00:00,37827822.51192056,37827822.51192056,0.0 
 04/24  13:00:00,39984002.043091159,39984002.043091159,0.0 
 04/24  14:00:00,40459980.80486368,40459980.80486368,0.0 
 04/24  15:00:00,40954490.08654218,40954490.08654218,0.0 
 04/24  16:00:00,41316837.30655406,41316837.30655406,0.0 
 04/24  17:00:00,30600301.788162214,30600301.788162214,0.0 
 04/24  18:00:00,14845371.871832952,14845371.871832949,0.0 
 04/24  19:00:00,9533076.927528758,9533076.927528754,0.0 
 04/24  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/24  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/24  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/24  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/24  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/25  06:00:00,20101157.404309654,20101157.40430965,0.0 
 04/25  07:00:00,20693789.303806418,20693789.303806418,0.0 
 04/25  08:00:00,35507575.87073527,35507575.87073527,0.0 
 04/25  09:00:00,37058504.110264319,37058504.110264319,0.0 
 04/25  10:00:00,38360343.2783702,38360343.2783702,0.0 
 04/25  11:00:00,39240380.889369297,39240380.889369297,0.0 
 04/25  12:00:00,38036436.43909748,38036436.43909749,0.0 
 04/25  13:00:00,40446044.069641169,40446044.06964116,0.0 
 04/25  14:00:00,41508656.96399403,41508656.96399403,0.0 
 04/25  15:00:00,42332399.37778793,42332399.377787929,0.0 
 04/25  16:00:00,42909690.57966866,42909690.57966866,0.0 
 04/25  17:00:00,32592270.321006307,32592270.3210063,0.0 
 04/25  18:00:00,14837768.573516984,14837768.57351698,0.0 
 04/25  19:00:00,9543161.796136242,9543161.796136238,0.0 
 04/25  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/25  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/25  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/25  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/25  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/26  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/26  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/26  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/26  04:00:00,8569604.825749658,8569604.825749658,0.0 
