Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/06  17:00:00,34202793.86427387,34202793.86427387,0.0 
 04/06  18:00:00,15714667.866552148,15714667.866552147,0.0 
 04/06  19:00:00,10009421.796136242,10009421.79613624,0.0 
 04/06  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/06  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/06  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/06  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/06  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/07  06:00:00,19554878.453114205,19554878.453114198,0.0 
 04/07  07:00:00,20249632.715158989,20249632.715158985,0.0 
 04/07  08:00:00,33783659.100485529,33783659.10048553,0.0 
 04/07  09:00:00,36042484.677353028,36042484.677353028,0.0 
 04/07  10:00:00,38031777.16195318,38031777.16195318,0.0 
 04/07  11:00:00,39461879.56765163,39461879.56765163,0.0 
 04/07  12:00:00,38775535.347736548,38775535.347736548,0.0 
 04/07  13:00:00,42137079.21547325,42137079.21547326,0.0 
 04/07  14:00:00,43177938.90855935,43177938.90855935,0.0 
 04/07  15:00:00,44760844.13709123,44760844.13709123,0.0 
 04/07  16:00:00,46238230.90841117,46238230.90841117,0.0 
 04/07  17:00:00,35965752.40060668,35965752.40060668,0.0 
 04/07  18:00:00,15797329.299901817,15797329.299901812,0.0 
 04/07  19:00:00,10010549.389738413,10010549.389738409,0.0 
 04/07  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/07  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/07  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/07  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/07  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/08  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/08  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/08  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/08  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/08  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/08  06:00:00,6695938.596677196,6695938.596677196,0.0 
 04/08  07:00:00,4862038.596677196,4862038.596677196,0.0 
 04/08  08:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  09:00:00,4495258.596677196,4495258.596677197,0.0 
 04/08  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/08  11:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/08  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  16:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  17:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  18:00:00,4495258.596677196,4495258.596677196,0.0 
 04/08  19:00:00,4961518.596677196,4961518.596677196,0.0 
 04/08  20:00:00,5894038.596677196,5894038.596677195,0.0 
 04/08  21:00:00,5894038.596677196,5894038.596677195,0.0 
 04/08  22:00:00,5894038.596677196,5894038.596677195,0.0 
 04/08  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/08  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/09  06:00:00,6695938.596677196,6695938.596677196,0.0 
 04/09  07:00:00,4862038.596677196,4862038.596677196,0.0 
 04/09  08:00:00,4495258.596677196,4495258.596677197,0.0 
 04/09  09:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/09  11:00:00,4495258.596677196,4495258.596677197,0.0 
 04/09  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/09  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  16:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  17:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  18:00:00,4495258.596677196,4495258.596677196,0.0 
 04/09  19:00:00,4961518.596677196,4961518.596677196,0.0 
 04/09  20:00:00,5894038.596677196,5894038.596677196,0.0 
 04/09  21:00:00,5894038.596677196,5894038.596677195,0.0 
 04/09  22:00:00,5894038.596677196,5894038.596677196,0.0 
 04/09  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/09  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/10  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/10  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/10  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/10  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/10  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/10  06:00:00,19382125.28544281,19382125.28544281,0.0 
 04/10  07:00:00,19774817.956846626,19774817.95684662,0.0 
 04/10  08:00:00,33228760.809924228,33228760.809924235,0.0 
 04/10  09:00:00,35094918.48715306,35094918.48715307,0.0 
 04/10  10:00:00,36639044.93483759,36639044.934837598,0.0 
 04/10  11:00:00,37827245.30906072,37827245.30906072,0.0 
 04/10  12:00:00,36818972.93773312,36818972.937733117,0.0 
 04/10  13:00:00,40812626.06110105,40812626.06110105,0.0 
 04/10  14:00:00,41725060.35287221,41725060.352872218,0.0 
 04/10  15:00:00,42356250.033617299,42356250.033617299,0.0 
 04/10  16:00:00,42811743.67947334,42811743.679473359,0.0 
 04/10  17:00:00,31163087.75295745,31163087.752957446,0.0 
 04/10  18:00:00,15888700.110315754,15888700.110315754,0.0 
 04/10  19:00:00,10009421.796136242,10009421.79613624,0.0 
 04/10  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/10  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/10  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/10  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/10  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/11  06:00:00,19219709.81503036,19219709.81503035,0.0 
 04/11  07:00:00,20146437.681467967,20146437.681467967,0.0 
 04/11  08:00:00,31473253.940308963,31473253.940308963,0.0 
 04/11  09:00:00,32352580.197804326,32352580.19780433,0.0 
 04/11  10:00:00,34001846.19022748,34001846.19022748,0.0 
 04/11  11:00:00,35186055.62258963,35186055.62258963,0.0 
 04/11  12:00:00,33278806.954967183,33278806.954967187,0.0 
 04/11  13:00:00,36935365.94888864,36935365.94888863,0.0 
 04/11  14:00:00,37966243.52566952,37966243.52566952,0.0 
 04/11  15:00:00,39015884.005704458,39015884.005704458,0.0 
 04/11  16:00:00,39906949.90205696,39906949.90205697,0.0 
 04/11  17:00:00,28656944.85508777,28656944.855087766,0.0 
 04/11  18:00:00,15777300.460568812,15777300.460568812,0.0 
 04/11  19:00:00,9776291.796136242,9776291.79613624,0.0 
 04/11  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/11  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/11  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/11  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/11  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/12  06:00:00,19223872.880002913,19223872.880002906,0.0 
 04/12  07:00:00,19664263.125640226,19664263.125640226,0.0 
 04/12  08:00:00,32041027.40354325,32041027.403543254,0.0 
 04/12  09:00:00,33331166.654006009,33331166.654006017,0.0 
 04/12  10:00:00,35110004.1614158,35110004.1614158,0.0 
 04/12  11:00:00,36831454.667432177,36831454.667432177,0.0 
 04/12  12:00:00,35576059.535788629,35576059.535788629,0.0 
 04/12  13:00:00,39198914.465114098,39198914.465114098,0.0 
 04/12  14:00:00,40288097.81131966,40288097.81131966,0.0 
 04/12  15:00:00,41318777.199282418,41318777.19928242,0.0 
 04/12  16:00:00,42027966.596792038,42027966.59679203,0.0 
 04/12  17:00:00,31077272.97518651,31077272.975186506,0.0 
 04/12  18:00:00,15692511.819552973,15692511.81955297,0.0 
 04/12  19:00:00,9777419.389738413,9777419.389738409,0.0 
 04/12  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/12  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/12  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/12  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/12  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/13  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/13  02:00:00,8569604.825749658,8569604.825749658,0.0 
